episodio,recompensa,epsilon,tubos_pasados
0,-6.90,1.0000,0
1,-8.10,1.0000,0
2,-8.10,0.9999,0
3,-7.50,0.9999,0
4,-6.90,0.9998,0
5,-8.10,0.9998,0
6,-6.30,0.9997,0
7,-6.90,0.9997,0
8,-8.10,0.9996,0
9,-6.90,0.9996,0
10,-8.10,0.9995,0
11,-6.90,0.9995,0
12,-8.10,0.9994,0
13,-7.50,0.9994,0
14,-7.50,0.9993,0
15,-7.50,0.9993,0
16,-5.70,0.9992,0
17,-5.70,0.9992,0
18,-8.70,0.9991,0
19,-8.10,0.9991,0
20,-7.50,0.9990,0
21,-6.90,0.9990,0
22,-8.10,0.9989,0
23,-6.90,0.9989,0
24,-6.30,0.9988,0
25,-7.50,0.9988,0
26,-6.30,0.9987,0
27,-8.70,0.9987,0
28,-5.70,0.9986,0
29,-8.10,0.9986,0
30,-8.10,0.9985,0
31,-8.10,0.9985,0
32,-8.10,0.9984,0
33,-7.50,0.9984,0
34,-6.30,0.9983,0
35,-8.70,0.9983,0
36,-8.10,0.9982,0
37,-6.30,0.9982,0
38,-7.50,0.9981,0
39,-5.70,0.9981,0
40,-6.90,0.9980,0
41,-6.30,0.9980,0
42,-8.10,0.9979,0
43,-7.50,0.9979,0
44,-7.50,0.9978,0
45,-5.70,0.9978,0
46,-5.70,0.9977,0
47,-4.50,0.9977,0
48,-8.10,0.9976,0
49,-8.10,0.9976,0
50,-8.10,0.9975,0
51,-6.90,0.9975,0
52,-8.10,0.9974,0
53,-8.70,0.9974,0
54,-6.30,0.9973,0
55,-5.10,0.9973,0
56,-6.30,0.9972,0
57,-8.10,0.9972,0
58,-6.90,0.9971,0
59,-8.10,0.9971,0
60,-8.70,0.9970,0
61,-8.10,0.9970,0
62,-6.90,0.9969,0
63,-8.70,0.9969,0
64,-6.90,0.9968,0
65,-7.50,0.9968,0
66,-8.70,0.9967,0
67,-7.50,0.9967,0
68,-7.50,0.9966,0
69,-6.30,0.9966,0
70,-8.70,0.9965,0
71,-6.90,0.9965,0
72,-6.90,0.9964,0
73,-8.10,0.9964,0
74,-8.10,0.9963,0
75,-6.90,0.9963,0
76,-8.10,0.9962,0
77,-7.50,0.9962,0
78,-7.50,0.9961,0
79,-7.50,0.9961,0
80,-8.10,0.9960,0
81,-7.50,0.9960,0
82,-7.50,0.9959,0
83,-8.10,0.9959,0
84,-8.10,0.9958,0
85,-6.90,0.9958,0
86,-8.70,0.9957,0
87,-7.50,0.9957,0
88,-8.70,0.9956,0
89,-8.70,0.9956,0
90,-8.70,0.9955,0
91,-5.70,0.9955,0
92,-8.10,0.9954,0
93,-8.10,0.9954,0
94,-5.70,0.9953,0
95,-8.70,0.9953,0
96,-7.50,0.9952,0
97,-7.50,0.9952,0
98,-8.10,0.9951,0
99,-8.70,0.9951,0
100,-7.50,0.9950,0
101,-8.70,0.9950,0
102,-8.10,0.9949,0
103,-8.10,0.9949,0
104,-6.90,0.9948,0
105,-7.50,0.9948,0
106,-8.10,0.9947,0
107,-8.70,0.9947,0
108,-6.90,0.9946,0
109,-8.10,0.9946,0
110,-7.50,0.9945,0
111,-8.10,0.9945,0
112,-7.50,0.9944,0
113,-8.10,0.9944,0
114,-5.70,0.9943,0
115,-7.50,0.9943,0
116,-8.10,0.9942,0
117,-6.30,0.9942,0
118,-7.50,0.9941,0
119,-8.10,0.9941,0
120,-8.10,0.9940,0
121,-7.50,0.9940,0
122,-8.10,0.9939,0
123,-8.10,0.9939,0
124,-8.70,0.9938,0
125,-7.50,0.9938,0
126,-8.70,0.9937,0
127,-7.50,0.9937,0
128,-6.90,0.9936,0
129,-6.90,0.9936,0
130,-7.50,0.9935,0
131,-8.10,0.9935,0
132,-7.50,0.9934,0
133,-8.70,0.9934,0
134,-7.50,0.9933,0
135,-8.10,0.9933,0
136,-6.30,0.9932,0
137,-8.10,0.9932,0
138,-8.70,0.9931,0
139,-8.10,0.9931,0
140,-8.70,0.9930,0
141,-8.10,0.9930,0
142,-7.50,0.9929,0
143,-6.90,0.9929,0
144,-8.10,0.9928,0
145,-5.70,0.9928,0
146,-7.50,0.9927,0
147,-6.90,0.9927,0
148,-8.10,0.9926,0
149,-8.10,0.9926,0
150,-8.10,0.9925,0
151,-7.50,0.9925,0
152,-6.90,0.9924,0
153,-6.30,0.9924,0
154,-6.90,0.9923,0
155,-6.30,0.9923,0
156,-7.50,0.9922,0
157,-8.10,0.9922,0
158,-8.10,0.9921,0
159,-6.90,0.9921,0
160,-8.10,0.9920,0
161,-8.70,0.9920,0
162,-8.10,0.9919,0
163,-6.90,0.9919,0
164,-8.10,0.9918,0
165,-8.10,0.9918,0
166,-8.10,0.9917,0
167,-7.50,0.9917,0
168,-6.90,0.9916,0
169,-6.90,0.9916,0
170,-7.50,0.9915,0
171,-7.50,0.9915,0
172,-6.90,0.9914,0
173,-8.10,0.9914,0
174,-6.30,0.9913,0
175,-7.50,0.9913,0
176,-8.10,0.9912,0
177,-8.70,0.9912,0
178,-8.70,0.9911,0
179,-8.10,0.9911,0
180,-6.90,0.9910,0
181,-5.10,0.9910,0
182,-5.70,0.9909,0
183,-7.50,0.9909,0
184,-8.10,0.9908,0
185,-5.70,0.9908,0
186,-8.10,0.9907,0
187,-6.90,0.9907,0
188,-8.10,0.9906,0
189,-8.10,0.9906,0
190,-8.70,0.9905,0
191,-6.90,0.9905,0
192,-8.70,0.9904,0
193,-6.90,0.9904,0
194,-7.50,0.9903,0
195,-6.90,0.9903,0
196,-7.50,0.9902,0
197,-7.50,0.9902,0
198,-6.30,0.9901,0
199,-8.10,0.9901,0
200,-7.50,0.9900,0
201,-8.10,0.9900,0
202,-7.50,0.9900,0
203,-8.10,0.9899,0
204,-6.90,0.9899,0
205,-8.10,0.9898,0
206,-7.50,0.9898,0
207,-8.10,0.9897,0
208,-4.50,0.9897,0
209,-8.10,0.9896,0
210,-8.70,0.9896,0
211,-8.10,0.9895,0
212,-8.70,0.9895,0
213,-7.50,0.9894,0
214,-1.50,0.9894,0
215,-8.70,0.9893,0
216,-8.10,0.9893,0
217,-7.50,0.9892,0
218,-8.70,0.9892,0
219,-6.90,0.9891,0
220,-7.50,0.9891,0
221,-6.30,0.9890,0
222,-7.50,0.9890,0
223,-7.50,0.9889,0
224,-8.10,0.9889,0
225,-6.30,0.9888,0
226,-8.70,0.9888,0
227,-8.70,0.9887,0
228,-8.10,0.9887,0
229,-6.90,0.9886,0
230,-7.50,0.9886,0
231,-8.10,0.9885,0
232,-7.50,0.9885,0
233,-8.10,0.9884,0
234,-7.50,0.9884,0
235,-6.30,0.9883,0
236,-3.90,0.9883,0
237,-7.50,0.9882,0
238,-6.90,0.9882,0
239,-7.50,0.9881,0
240,-8.10,0.9881,0
241,-8.70,0.9880,0
242,-8.70,0.9880,0
243,-6.90,0.9879,0
244,-5.70,0.9879,0
245,-6.30,0.9878,0
246,-7.50,0.9878,0
247,-6.30,0.9877,0
248,-8.10,0.9877,0
249,-8.10,0.9876,0
250,-7.50,0.9876,0
251,-8.10,0.9875,0
252,-8.70,0.9875,0
253,-8.10,0.9874,0
254,-7.50,0.9874,0
255,-7.50,0.9873,0
256,-6.30,0.9873,0
257,-6.90,0.9872,0
258,-6.90,0.9872,0
259,-6.90,0.9871,0
260,-6.90,0.9871,0
261,-7.50,0.9870,0
262,-6.90,0.9870,0
263,-7.50,0.9869,0
264,-8.10,0.9869,0
265,-5.70,0.9868,0
266,-8.10,0.9868,0
267,-8.10,0.9867,0
268,-6.30,0.9867,0
269,-7.50,0.9866,0
270,-6.30,0.9866,0
271,-8.10,0.9865,0
272,-8.70,0.9865,0
273,-5.10,0.9864,0
274,-7.50,0.9864,0
275,-7.50,0.9863,0
276,-7.50,0.9863,0
277,-8.10,0.9862,0
278,-6.90,0.9862,0
279,-6.90,0.9861,0
280,-6.30,0.9861,0
281,-8.10,0.9860,0
282,-7.50,0.9860,0
283,-8.70,0.9859,0
284,-8.10,0.9859,0
285,-6.30,0.9859,0
286,-8.70,0.9858,0
287,-8.10,0.9858,0
288,-6.90,0.9857,0
289,-6.90,0.9857,0
290,-8.10,0.9856,0
291,-7.50,0.9856,0
292,-6.90,0.9855,0
293,-8.10,0.9855,0
294,-8.70,0.9854,0
295,-8.10,0.9854,0
296,-8.10,0.9853,0
297,-6.30,0.9853,0
298,-7.50,0.9852,0
299,-7.50,0.9852,0
300,-8.70,0.9851,0
301,-7.50,0.9851,0
302,-6.30,0.9850,0
303,-6.30,0.9850,0
304,-8.10,0.9849,0
305,-7.50,0.9849,0
306,-8.10,0.9848,0
307,-8.10,0.9848,0
308,-8.10,0.9847,0
309,-5.70,0.9847,0
310,-5.70,0.9846,0
311,-7.50,0.9846,0
312,-8.10,0.9845,0
313,-8.70,0.9845,0
314,-2.70,0.9844,0
315,-6.30,0.9844,0
316,-6.90,0.9843,0
317,-7.50,0.9843,0
318,-7.50,0.9842,0
319,-6.30,0.9842,0
320,-7.50,0.9841,0
321,-6.90,0.9841,0
322,-8.70,0.9840,0
323,-7.50,0.9840,0
324,-8.10,0.9839,0
325,-8.10,0.9839,0
326,-5.10,0.9838,0
327,-8.70,0.9838,0
328,-8.70,0.9837,0
329,-6.30,0.9837,0
330,-7.50,0.9836,0
331,-6.30,0.9836,0
332,-8.10,0.9835,0
333,-6.30,0.9835,0
334,-6.30,0.9834,0
335,-8.70,0.9834,0
336,-5.70,0.9833,0
337,-8.10,0.9833,0
338,-8.10,0.9832,0
339,-7.50,0.9832,0
340,-8.10,0.9831,0
341,-6.90,0.9831,0
342,-8.10,0.9830,0
343,-7.50,0.9830,0
344,-7.50,0.9829,0
345,-6.90,0.9829,0
346,-7.50,0.9828,0
347,-4.50,0.9828,0
348,-7.50,0.9828,0
349,-8.10,0.9827,0
350,-8.10,0.9827,0
351,-8.10,0.9826,0
352,-8.10,0.9826,0
353,-7.50,0.9825,0
354,-8.10,0.9825,0
355,-7.50,0.9824,0
356,-8.10,0.9824,0
357,-8.70,0.9823,0
358,-7.50,0.9823,0
359,-7.50,0.9822,0
360,-6.90,0.9822,0
361,-7.50,0.9821,0
362,-6.90,0.9821,0
363,-7.50,0.9820,0
364,-8.70,0.9820,0
365,-7.50,0.9819,0
366,-8.70,0.9819,0
367,-6.90,0.9818,0
368,-8.10,0.9818,0
369,-7.50,0.9817,0
370,-7.50,0.9817,0
371,-8.70,0.9816,0
372,-6.90,0.9816,0
373,-7.50,0.9815,0
374,-8.10,0.9815,0
375,-6.90,0.9814,0
376,-4.50,0.9814,0
377,-6.30,0.9813,0
378,-6.90,0.9813,0
379,-6.90,0.9812,0
380,-8.10,0.9812,0
381,-6.90,0.9811,0
382,-7.50,0.9811,0
383,-7.50,0.9810,0
384,-6.90,0.9810,0
385,-8.10,0.9809,0
386,-8.70,0.9809,0
387,-7.50,0.9808,0
388,-8.10,0.9808,0
389,-4.50,0.9807,0
390,-6.30,0.9807,0
391,-7.50,0.9806,0
392,-7.50,0.9806,0
393,-7.50,0.9805,0
394,-6.30,0.9805,0
395,-6.30,0.9804,0
396,-6.90,0.9804,0
397,-5.70,0.9803,0
398,-6.30,0.9803,0
399,-7.50,0.9802,0
400,-4.50,0.9802,0
401,-8.10,0.9801,0
402,-8.10,0.9801,0
403,-7.50,0.9801,0
404,-8.10,0.9800,0
405,-8.10,0.9800,0
406,-6.90,0.9799,0
407,-7.50,0.9799,0
408,-7.50,0.9798,0
409,-8.10,0.9798,0
410,-6.90,0.9797,0
411,-7.50,0.9797,0
412,-7.50,0.9796,0
413,-8.10,0.9796,0
414,-6.30,0.9795,0
415,-7.50,0.9795,0
416,-8.10,0.9794,0
417,-6.30,0.9794,0
418,-7.50,0.9793,0
419,-8.10,0.9793,0
420,-8.10,0.9792,0
421,-6.90,0.9792,0
422,-7.50,0.9791,0
423,-8.10,0.9791,0
424,-8.10,0.9790,0
425,-6.30,0.9790,0
426,-7.50,0.9789,0
427,-6.90,0.9789,0
428,-8.10,0.9788,0
429,-7.50,0.9788,0
430,-7.50,0.9787,0
431,-8.10,0.9787,0
432,-7.50,0.9786,0
433,-8.10,0.9786,0
434,-7.50,0.9785,0
435,-8.10,0.9785,0
436,-7.50,0.9784,0
437,-7.50,0.9784,0
438,-3.90,0.9783,0
439,-7.50,0.9783,0
440,-6.30,0.9782,0
441,-8.70,0.9782,0
442,-7.50,0.9781,0
443,-7.50,0.9781,0
444,-8.70,0.9780,0
445,-6.90,0.9780,0
446,-6.30,0.9779,0
447,-6.30,0.9779,0
448,-7.50,0.9778,0
449,-6.90,0.9778,0
450,-7.50,0.9778,0
451,-8.10,0.9777,0
452,-8.10,0.9777,0
453,-8.10,0.9776,0
454,-6.90,0.9776,0
455,-7.50,0.9775,0
456,-8.70,0.9775,0
457,-8.10,0.9774,0
458,-6.30,0.9774,0
459,-7.50,0.9773,0
460,-8.70,0.9773,0
461,-5.70,0.9772,0
462,-4.50,0.9772,0
